Full Name,Team Number,Match ID,Crossed Auto Line?,Auto Installed in the Exchange?,Successful Auto Switch Installs,Failed Auto Switch Installs,Successful Auto Scale Installs,Failed Auto Scale Installs,Collects Cubes From,Succcessful Switch Installs,Failed Switch Installs,Successful Scale Installs,Failed Scale Installs,Successful Exchange Installs,Failed Exchange Installs,Drove on the Platform,Climbing,Let other robots climb on it,Tech Foul?,Defense comments,Comments,Submitted At,Token
Jonathan,1323,QM91,TRUE,FALSE,0,0,2,0,"Pyramid, Portal, Ground",0,1,5,0,0,0,TRUE,Successful,Failed,FALSE,,"רובוט מהיר ביותר, בעל מרכב swerve",4/13/2018 19:27:30,786c87b1af74d0f1b0ec97a721f72c53
Jonathan,1323,QM80,TRUE,FALSE,0,0,2,0,"Ground, Pyramid, Portal",0,0,7,0,0,0,TRUE,Successful,Successful,FALSE,,,4/13/2018 19:35:14,30f6481d2ffca279baef8ba33c987d18
Jonathan,1323,QM71,TRUE,FALSE,3,0,0,0,"Ground, Pyramid, Portal",0,0,8,2,0,0,TRUE,Successful,Successful,FALSE,,,4/13/2018 19:45:11,2fad0969b550c2bcff7ffa9bbd7e9c4f
Jonathan,1323,F2,TRUE,FALSE,3,0,0,0,"Ground, Pyramid, Portal",6,0,2,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,"אפשר לעשות הגנה יחסית בקלות, מכה והקוביה נופלת להם",,4/13/2018 19:47:59,bdafbe877580001c7493a74a579f5e60
